"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
87,"NCT00335881","Persistence of the Immune Response to Hepatitis B in 4-6 Years Old Children Previously Vaccinated With DTPa-HBV-IPV/Hib",,"Completed","No Results Available","Hepatitis B","Biological: hepatitis B vaccine","Anti-HBs antibody concentration|Persistence of antibodies to the other DTPa-HBV-IPV/Hib vaccine antigens.|Sol & unsol symptoms after HBV vaccination, SAEs","GlaxoSmithKline","All","4 Years to 6 Years   (Child)","Phase 4","300","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","106745","June 2006",,"November 2006","June 12, 2006",,"October 7, 2016","GSK Investigational Site, Bad Saulgau, Baden-Wuerttemberg, Germany|GSK Investigational Site, Boennigheim, Baden-Wuerttemberg, Germany|GSK Investigational Site, Ettenheim, Baden-Wuerttemberg, Germany|GSK Investigational Site, Kehl, Baden-Wuerttemberg, Germany|GSK Investigational Site, Oberkirch, Baden-Wuerttemberg, Germany|GSK Investigational Site, Offenburg, Baden-Wuerttemberg, Germany|GSK Investigational Site, Schwaebisch-Hall, Baden-Wuerttemberg, Germany|GSK Investigational Site, Stuttgart, Baden-Wuerttemberg, Germany|GSK Investigational Site, Tuttlingen, Baden-Wuerttemberg, Germany|GSK Investigational Site, Cham, Bayern, Germany|GSK Investigational Site, Freising, Bayern, Germany|GSK Investigational Site, Kaufering, Bayern, Germany|GSK Investigational Site, Landsberg, Bayern, Germany|GSK Investigational Site, Muenchen, Bayern, Germany|GSK Investigational Site, Muenchen, Bayern, Germany|GSK Investigational Site, Muenchen, Bayern, Germany|GSK Investigational Site, Noerdlingen, Bayern, Germany|GSK Investigational Site, Tutzing, Bayern, Germany|GSK Investigational Site, Weilheim, Bayern, Germany|GSK Investigational Site, Waren, Mecklenburg-Vorpommern, Germany|GSK Investigational Site, Salzgitter, Niedersachsen, Germany|GSK Investigational Site, Erkrath, Nordrhein-Westfalen, Germany|GSK Investigational Site, Heiligenhaus, Nordrhein-Westfalen, Germany|GSK Investigational Site, Kleve-Materborn, Nordrhein-Westfalen, Germany|GSK Investigational Site, Krefeld, Nordrhein-Westfalen, Germany|GSK Investigational Site, Willich, Nordrhein-Westfalen, Germany|GSK Investigational Site, Schoeneberg - Kuebelberg, Rheinland-Pfalz, Germany|GSK Investigational Site, Trier, Rheinland-Pfalz, Germany|GSK Investigational Site, Trier, Rheinland-Pfalz, Germany|GSK Investigational Site, Altenholz, Schleswig-Holstein, Germany|GSK Investigational Site, Bredstedt, Schleswig-Holstein, Germany|GSK Investigational Site, Flensburg, Schleswig-Holstein, Germany|GSK Investigational Site, Flensburg, Schleswig-Holstein, Germany|GSK Investigational Site, Flensburg, Schleswig-Holstein, Germany|GSK Investigational Site, Husum, Schleswig-Holstein, Germany|GSK Investigational Site, Berlin, Germany|GSK Investigational Site, Berlin, Germany|GSK Investigational Site, Berlin, Germany",,"https://ClinicalTrials.gov/show/NCT00335881"
88,"NCT01421212","Pilot Study to Assess the Pharmacokinetics of Intravenous Nabi 5% Hepatitis B Immune Globulin (Boca HBVIg) Used in Combination With Lamivudine for Patients With Hepatitis B Virus (HBV) Associated Liver Disease Undergoing Liver Transplantation",,"Completed","No Results Available","Hepatitis B Virus Associated Liver Disease","Biological: Hepatitis B Immune Globulin (Boca HBVIg)","Number of hepatitis B virus positive liver transplant recipients with no hepatitis B virus recurrence after liver transplantation.|Number of participants who maintain a protective trough titer of anti hepatitis B antibodies beginning at 12 weeks post liver transplantation.|Change in anti hepatitis B antibodies levels with administration of Boca hepatitis B immune globulin concomitantly with Lamivudine.","Biotest Pharmaceuticals Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","30","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","Nabi-4204","November 1999","February 2002","February 2002","August 22, 2011",,"January 22, 2019","University of California, San Francisco, San Francisco, California, United States|University of Florida, Gainesville, Florida, United States|Mayo Clinic Jacksonville, Jacksonville, Florida, United States|Jackson Memorial Hospital / University of Miami, Miami, Florida, United States|Rush-Presbyterian - St. Luke's Medical Center, Chicago, Illinois, United States|The University of Michigan Health System, Ann Arbor, Michigan, United States|Rochester Methodist Hospital, Rochester, Minnesota, United States|Mount Sinai Medical Center, New York, New York, United States|New York-Presbyterian Hospital Columbia-Presbyterian Medical Center, New York, New York, United States|The University of North Carolina Hospitals, Chapel Hill, North Carolina, United States|Medical College of Virginia Commenwealth University, Richmond, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT01421212"
89,"NCT02809885","Hepatitis E Virus Infection in Pediatric Transplantation, a Prevalence Study","HEV","Unknown status","No Results Available","Transplantation","Biological: Hepatitis E serology","Hepatitis E virus prevalence in pediatric transplanted patients|Correlation between HEV prevalence and the different types of transplantation","Hospices Civils de Lyon","All","up to 18 Years   (Child, Adult)","Not Applicable","226","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening","2013-810","December 19, 2013","December 19, 2017","December 19, 2017","June 22, 2016",,"August 9, 2017","Hospices Civils de Lyon, Bron, France",,"https://ClinicalTrials.gov/show/NCT02809885"
90,"NCT04870021","Hepatitis B Birth Dose for Newborns","HepB-BirD","Completed","No Results Available","Hepatitis B|Immunization; Infection","Biological: recombinant hepatitis B vaccine ENGERIX 10 micrograms (µ gm),|Behavioral: Short text messages and calls to parents for compliance to routine immunization schedule","Sero-proetction Level|Adverse event","Quaid-e-Azam University|Medical Research Council, Pakistan|Health Services Academy, Islamabad, Pakistan","All","12 Hours to 8 Months   (Child)","Phase 4","218","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","F.No.3-107/2013-IERC/HSA","March 15, 2015","November 30, 2015","June 30, 2016","May 3, 2021",,"May 3, 2021","Countess Dufferin Fund (CDF) Hospital, Hyderabad, Pakistan",,"https://ClinicalTrials.gov/show/NCT04870021"
91,"NCT04459897","Lyon Granulomatous Hepatitis Study","LGH","Unknown status","No Results Available","Patient Diagnosed or Treated for Granulomatous Hepatitis Followed in the Internal Medicine (and or) Hepato-gastroenterology Departments","Other: Evaluation of epithelioid and gigantocellular granulomas within the hepatic parenchyma by histopathology approach.","Evaluation of epithelioid and gigantocellular granulomas within the hepatic parenchyma by histopathology approach.","Hospices Civils de Lyon","All","18 Years and older   (Adult, Older Adult)",,"600","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","LGH_2020","January 1, 2019","January 1, 2023","January 1, 2023","July 7, 2020",,"July 7, 2020",": Hôpital de la Croix Rousse / GHN / service de médecine interne, Lyon, France|Hôpital Edouard Herriot / service de médecine interne, Lyon, France|Hôpital Lyon Sud / service de médecine interne, Pierre Bénite, France",,"https://ClinicalTrials.gov/show/NCT04459897"
92,"NCT00800787","Nabi-HB Administered Subcutaneously in Patients With Hepatitis B Virus Post Liver Transplantation","Nabi-HB-SC","Withdrawn","No Results Available","Hepatitis B, Chronic","Biological: Nabi-HB","To evaluate the efficacy of Nabi-HB administered subcutaneously weekly for a total of 14 weeks in patients who previously underwent a liver transplant. Levels will provide evidence if effective anti-HB levels >150 IU/ML can be maintained.|To evaluate the safety of Nabi-HB administered subcutaneously weekly for a total of 14 weeks.","Biotest Pharmaceuticals Corporation","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 3","0","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","4210","April 2010","August 2010","September 2010","December 2, 2008",,"January 18, 2016",,,"https://ClinicalTrials.gov/show/NCT00800787"
93,"NCT02605538","Hepatitis B in Cystic Fibrosis and Latent Tuberculosis Respectively",,"Withdrawn","No Results Available","Cystic Fibrosis|Hepatitis A|Hepatitis B|Tuberculosis","Biological: Vaccination with vaccine against hepatitis A and B","Positive antibody response to vaccination with Twinrix(TM) in CF patients compared to healthy volunteers","Karolinska University Hospital|Karolinska Institutet","All","1 Year and older   (Child, Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2012/251-31/2","September 1, 2015","December 2023","December 31, 2025","November 16, 2015",,"March 18, 2024","Stockholm CF Center, KArolinska University Hospital, Stockholm, Sweden",,"https://ClinicalTrials.gov/show/NCT02605538"
94,"NCT00456625","Immune Response to Hepatitis B Vaccine Challenge Dose in Subjects Who Received a Primary Neonatal Hepatitis B Vaccine.",,"Completed","Has Results","Hepatitis B","Biological: Engerix™-B","Number of Participants With Anti-hepatitis B Surface Antigen (Anti-HBs) Antibody Concentrations Above Specific Cut-off Values|Occurrence, Intensity and Relationship to Vaccination of Unsolicited Adverse Events (AEs)|Number of Participants Reporting Any Serious Adverse Events (SAEs).","GlaxoSmithKline","All","20 Years to 21 Years   (Adult)","Phase 4","76","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","108984","April 2007","January 2008","January 2008","April 5, 2007","May 15, 2009","December 16, 2016","GSK Investigational Site, Bangkok, Thailand",,"https://ClinicalTrials.gov/show/NCT00456625"
95,"NCT01102296","Effectiveness of Hepatitis A Virus Vaccination Among Homosexual Males at Risk for Hepatitis A Infection",,"Completed","No Results Available","Hepatitis","Biological: Hepatitis A vaccine","the proportion of vaccinees who achieve anti-HAV antibody concentrations of 20 mIU/ml or greater at week 48 of vaccination|the concentrations of anti-HAV antibody at week 48 of vaccination","National Taiwan University Hospital","Male","18 Years to 40 Years   (Adult)","Not Applicable","582","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","200903063M","June 2009","March 2012","April 2012","April 13, 2010",,"December 27, 2012","National Taiwan University Hospital, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT01102296"
96,"NCT00141999","Response to Booster Doses of Hepatitis B Vaccine in Children and Adolescents",,"Completed","No Results Available","Hepatitis","Biological: hepatitis B vaccine",,"Centers for Disease Control and Prevention|Alaska Native Medical Center","All","5 Years to 14 Years   (Child)",,"400","U.S. Fed|Other","Observational","Time Perspective: Prospective","CDC-NCID-2998|U50/CCU022279","May 2001","March 2005","March 2008","September 2, 2005",,"September 27, 2012","Alaska Native Medical Center, Anchorage, Alaska, United States",,"https://ClinicalTrials.gov/show/NCT00141999"
97,"NCT05272735","HBV Vaccination of Healthy Volunteers to Evaluate the Composition of Germinal Centers",,"Recruiting","No Results Available","Hepatitis B","Biological: Hepatitis B Vaccine (Recombinant)","The Effects of HBV Vaccine on Memory B Cells|B Cell Response to the HBV Vaccination","Rockefeller University|Weill Medical College of Cornell University","All","18 Years to 50 Years   (Adult)","Phase 4","12","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","GVI 1028","December 10, 2022","December 30, 2024","June 30, 2025","March 9, 2022",,"January 24, 2024","The Rockefeller University, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT05272735"
98,"NCT01341275","Adolescents' Response to Hepatitis B Vaccine Booster Dose","REACH","Unknown status","No Results Available","Hepatitis B","Biological: hepatitis B vaccine","anti-HBSAg titers","Baylor College of Medicine|Centers for Disease Control and Prevention","All","16 Years to 19 Years   (Child, Adult)","Phase 4","400","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","H-26257","April 2010","November 2011","November 2011","April 25, 2011",,"April 25, 2011","Texas Children's Hospital, Houston, Texas, United States|Texas Children's Pediatric Associates, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01341275"
99,"NCT02189603","Phase Ⅳ Clinical Trial of Recombinant Hepatitis E Vaccine（Hecolin®）",,"Completed","No Results Available","Hepatitis E","Biological: Recombinant (E. Coli) Hepatitis E Vaccine","Number of Participants with Serious and Non-Serious Adverse Events|anti-HEV IgG seropositive rate|GMT of anti-HEV IgG","Jun Zhang|Xiamen Innovax Biotech Co., Ltd|Xiamen Center for Disease Control and Prevention|Xiamen University","All","16 Years and older   (Child, Adult, Older Adult)","Phase 4","601","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","PRO-HE-05","June 2014","December 7, 2015","December 7, 2015","July 14, 2014",,"August 17, 2018","Center for disease control and prevention in Xiamen haicang district, Xiamen, Fujian, China",,"https://ClinicalTrials.gov/show/NCT02189603"
100,"NCT03876470","Conquering Hepatitis C Via Micro-Elimination in Southwest Virginia","CHIME","Unknown status","No Results Available","Hepatitis C","Other: Hepatitis C treatment as chosen by provider","Cohort-level Hepatitis C Treatment Progress|Patient Reported Quality-of-Life|Depression|Health-Related Quality-of-Life|Semi-Structured Qualitative Interview about Impact of HCV Treatment","University of Virginia|Gilead Sciences","All","18 Years and older   (Adult, Older Adult)",,"300","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","21167","May 15, 2019","November 2020","November 30, 2020","March 15, 2019",,"April 17, 2019",,,"https://ClinicalTrials.gov/show/NCT03876470"
